run_id,epoch,final_epoch,clean_acc,asr
20250619T222325,1,False,0.88098407,0.12566489
20250619T222325,2,False,0.91921544,0.11402926
20250619T222325,3,False,0.9109042,0.11170213
20250619T222325,4,False,0.93517286,0.11070479
20250619T222325,5,False,0.94049203,0.11070479
20250619T222325,6,False,0.93583775,0.11469415
20250619T222325,7,False,0.92453456,0.13730054
20250619T222325,8,False,0.93351066,0.11469415
20250619T222325,9,False,0.9411569,0.11502659
20250619T222325,10,False,0.9381649,0.1143617
20250619T222325,11,False,0.9271942,0.11303192
20250619T222325,12,False,0.9424867,0.11469415
20250619T222325,13,False,0.91988033,0.10837766
20250619T222325,14,False,0.93949467,0.11103723
20250619T222325,15,False,0.953125,0.11037234
20250619T222325,16,False,0.94714093,0.109707445
20250619T222325,17,False,0.94348407,0.10771277
20250619T222325,18,False,0.9411569,0.1100399
20250619T222325,19,False,0.91921544,0.112034574
20250619T222325,20,True,0.9461436,0.11070479
20250619T223159,1,False,0.8796542,0.115359046
20250619T223159,2,False,0.8952792,0.12599733
20250619T223159,3,False,0.92087764,0.11037234
20250619T223159,4,False,0.9261968,0.107380316
20250619T223159,5,False,0.9212101,0.11037234
20250619T223159,6,False,0.93450797,0.112034574
20250619T223159,7,False,0.9461436,0.1100399
20250619T223159,8,False,0.93151593,0.11303192
20250619T223159,9,False,0.92519945,0.1100399
20250619T223159,10,False,0.9328458,0.109042555
20250619T223159,11,False,0.94514626,0.11170213
20250619T223159,12,False,0.9444814,0.1087101
20250619T223159,13,False,0.93550533,0.11103723
20250619T223159,14,False,0.92852396,0.109707445
20250619T223159,15,False,0.93085104,0.11303192
20250619T223159,16,False,0.93949467,0.10638298
20250619T223159,17,False,0.9537899,0.10372341
20250619T223159,18,False,0.9494681,0.10704787
20250619T223159,19,False,0.9411569,0.11236702
20250619T223159,20,True,0.9484708,0.10771277
20250619T223331,1,False,0.89461434,0.120678194
20250619T223331,2,False,0.92087764,0.11303192
20250619T223331,3,False,0.92021275,0.11303192
20250619T223331,4,False,0.94414896,0.11170213
20250619T223331,5,False,0.9375,0.109375
20250619T223331,6,False,0.93351066,0.10771277
20250619T223331,7,False,0.94913566,0.11103723
20250619T223331,8,False,0.9494681,0.109042555
20250619T223331,9,False,0.9318484,0.111369684
20250619T223331,10,False,0.95079786,0.11103723
20250619T223331,11,False,0.9478058,0.1087101
20250619T223331,12,False,0.9418218,0.10837766
20250619T223331,13,False,0.93550533,0.11170213
20250619T223331,14,False,0.9428192,0.11037234
20250619T223331,15,False,0.9461436,0.10804521
20250619T223331,16,False,0.94414896,0.10804521
20250619T223331,17,False,0.9338431,0.10837766
20250619T223331,18,False,0.9438165,0.109042555
20250619T223331,19,False,0.95046544,0.109375
20250619T223331,20,True,0.9424867,0.10837766
20250619T224315,1,False,0.72174203,0.109375
20250619T224315,2,False,0.73636967,0.10638298
20250619T224315,3,False,0.7513298,0.10638298
20250619T224315,4,False,0.8128325,0.10538564
20250619T224315,5,False,0.8111702,0.10372341
20250619T224315,6,False,0.8224734,0.10106383
20250619T224315,7,False,0.8294548,0.10172872
20250619T224315,8,False,0.82014626,0.102726065
20250619T224315,9,False,0.8178192,0.10472074
20250619T224315,10,False,0.8161569,0.10239362
20250619T224315,11,False,0.8324468,0.09773936
20250619T224315,12,False,0.83144945,0.100398935
20250619T224315,13,False,0.83410907,0.10172872
20250619T224315,14,False,0.8337766,0.10472074
20250619T224315,15,False,0.8324468,0.10172872
20250619T224315,16,False,0.80917555,0.10139628
20250619T224315,17,False,0.83410907,0.096409574
20250619T224315,18,False,0.83144945,0.098071806
20250619T224315,19,False,0.83776593,0.10106383
20250619T224315,20,True,0.83776593,0.100398935
