run_id,epoch,blend_percentage,poison_rate,poison_first,poison_second,final_epoch,clean_acc,asr
20250619T153942,1,0.9,0.05,False,True,False,0.8962766,0.11702128
20250619T153942,2,0.9,0.05,False,True,False,0.9069149,0.11170213
20250619T153942,3,0.9,0.05,False,True,False,0.9115692,0.11569149
20250619T153942,4,0.9,0.05,False,True,False,0.9105718,0.119015954
20250619T153942,5,0.9,0.05,False,True,False,0.92287236,0.11402926
20250619T153942,6,0.9,0.05,False,True,False,0.9331782,0.11269947
20250619T153942,7,0.9,0.05,False,True,False,0.9418218,0.109042555
20250619T153942,8,0.9,0.05,False,True,False,0.91389626,0.10704787
20250619T153942,9,0.9,0.05,False,True,False,0.94714093,0.1100399
20250619T153942,10,0.9,0.05,False,True,False,0.9444814,0.1087101
20250619T153942,11,0.9,0.05,False,True,False,0.9488032,0.10837766
20250619T153942,12,0.9,0.05,False,True,False,0.94514626,0.10571808
20250619T153942,13,0.9,0.05,False,True,False,0.9338431,0.109375
20250619T153942,14,0.9,0.05,False,True,False,0.95013297,0.10837766
20250619T153942,15,0.9,0.05,False,True,False,0.95578456,0.11037234
20250619T153942,16,0.9,0.05,False,True,False,0.9567819,0.107380316
20250619T153942,17,0.9,0.05,False,True,False,0.9388298,0.11070479
20250619T153942,18,0.9,0.05,False,True,False,0.9388298,0.112034574
20250619T153942,19,0.9,0.05,False,True,False,0.9494681,0.106715426
20250619T153942,20,0.9,0.05,False,True,True,0.94980055,0.11170213
20250619T154105,1,0.8,0.05,False,True,False,0.8693484,0.12400266
20250619T154105,2,0.8,0.05,False,True,False,0.9182181,0.13630319
20250619T154105,3,0.8,0.05,False,True,False,0.9328458,0.12533244
20250619T154105,4,0.8,0.05,False,True,False,0.8992686,0.12865691
20250619T154105,5,0.8,0.05,False,True,False,0.93916225,0.11868351
20250619T154105,6,0.8,0.05,False,True,False,0.9268617,0.11103723
20250619T154105,7,0.8,0.05,False,True,False,0.94714093,0.11469415
20250619T154105,8,0.8,0.05,False,True,False,0.9424867,0.11269947
20250619T154105,9,0.8,0.05,False,True,False,0.9325133,0.11668883
20250619T154105,10,0.8,0.05,False,True,False,0.9265292,0.1200133
20250619T154105,11,0.8,0.05,False,True,False,0.93949467,0.123005316
20250619T154105,12,0.8,0.05,False,True,False,0.93650264,0.11269947
20250619T154105,13,0.8,0.05,False,True,False,0.9484708,0.11768617
20250619T154105,14,0.8,0.05,False,True,False,0.9474734,0.11402926
20250619T154105,15,0.8,0.05,False,True,False,0.93650264,0.11968085
20250619T154105,16,0.8,0.05,False,True,False,0.93583775,0.12034574
20250619T154105,17,0.8,0.05,False,True,False,0.9524601,0.113696806
20250619T154105,18,0.8,0.05,False,True,False,0.9418218,0.116023935
20250619T154105,19,0.8,0.05,False,True,False,0.94514626,0.11668883
20250619T154105,20,0.8,0.05,False,True,True,0.91788566,0.113696806
20250619T154227,1,0.7,0.05,False,True,False,0.70079786,0.13098404
20250619T154227,2,0.7,0.05,False,True,False,0.7337101,0.12932181
20250619T154227,3,0.7,0.05,False,True,False,0.7463431,0.13464096
20250619T154227,4,0.7,0.05,False,True,False,0.7609708,0.122340426
20250619T154227,5,0.7,0.05,False,True,False,0.74401593,0.12400266
20250619T154227,6,0.7,0.05,False,True,False,0.7569814,0.11934841
20250619T154227,7,0.7,0.05,False,True,False,0.75265956,0.140625
20250619T154227,8,0.7,0.05,False,True,False,0.7613032,0.119015954
20250619T154227,9,0.7,0.05,False,True,False,0.7450133,0.12400266
20250619T154227,10,0.7,0.05,False,True,False,0.75232714,0.11968085
