run_id,epoch,pgd_epsilon,pgd_iter,alpha,poison_rate,poison_first,poison_second,final_epoch,clean_acc,asr
20250618T141145,1,300.0,10,0.005,0.05,True,True,False,0.81449467,0.0944149
20250618T141145,2,300.0,10,0.005,0.05,True,True,False,0.82646275,0.09474734
20250618T141145,3,300.0,10,0.005,0.05,True,True,False,0.8384308,0.089428194
20250618T141145,4,300.0,10,0.005,0.05,True,True,False,0.8500665,0.08843085
20250618T141145,5,300.0,10,0.005,0.05,True,True,False,0.8390958,0.09075798
20250618T141145,6,300.0,10,0.005,0.05,True,True,False,0.8450798,0.09242021
20250618T141145,7,300.0,10,0.005,0.05,True,True,False,0.84973407,0.08843085
20250618T141145,8,300.0,10,0.005,0.05,True,True,False,0.8484042,0.0887633
20250618T141145,9,300.0,10,0.005,0.05,True,True,False,0.83577126,0.098071806
20250618T141145,10,300.0,10,0.005,0.05,True,True,False,0.83976066,0.08843085
20250618T141145,11,300.0,10,0.005,0.05,True,True,False,0.8597075,0.08444149
20250618T141145,12,300.0,10,0.005,0.05,True,True,False,0.8640292,0.08543883
20250618T141145,13,300.0,10,0.005,0.05,True,True,False,0.8607048,0.08510638
20250618T141145,14,300.0,10,0.005,0.05,True,True,False,0.85738033,0.087101065
20250618T141145,15,300.0,10,0.005,0.05,True,True,False,0.8557181,0.09142287
20250618T141145,16,300.0,10,0.005,0.05,True,True,False,0.85638297,0.087101065
20250618T141145,17,300.0,10,0.005,0.05,True,True,False,0.8547208,0.0887633
20250618T141145,18,300.0,10,0.005,0.05,True,True,False,0.8367686,0.09075798
20250618T141145,19,300.0,10,0.005,0.05,True,True,False,0.85538566,0.08577128
20250618T141145,20,300.0,10,0.005,0.05,True,True,True,0.85771275,0.08976064
20250618T143247,1,300.0,10,0.005,0.1,True,True,False,0.87699467,0.11402926
20250618T143247,2,300.0,10,0.005,0.1,True,True,False,0.92586434,0.11236702
20250618T143247,3,300.0,10,0.005,0.1,True,True,False,0.9331782,0.11303192
20250618T143247,4,300.0,10,0.005,0.1,True,True,False,0.93417555,0.109375
20250618T143247,5,300.0,10,0.005,0.1,True,True,False,0.93916225,0.10538564
20250618T143247,6,300.0,10,0.005,0.1,True,True,False,0.9055851,0.11702128
20250618T143247,7,300.0,10,0.005,0.1,True,True,False,0.9305186,0.107380316
20250618T143247,8,300.0,10,0.005,0.1,True,True,False,0.93982714,0.1100399
20250618T143247,9,300.0,10,0.005,0.1,True,True,False,0.93517286,0.1143617
20250618T143247,10,300.0,10,0.005,0.1,True,True,False,0.9484708,0.10837766
20250618T143247,11,300.0,10,0.005,0.1,True,True,False,0.9424867,0.1087101
20250618T143247,12,300.0,10,0.005,0.1,True,True,False,0.94148934,0.10372341
20250618T143247,13,300.0,10,0.005,0.1,True,True,False,0.9328458,0.112034574
20250618T143247,14,300.0,10,0.005,0.1,True,True,False,0.93849736,0.11635638
20250618T143247,15,300.0,10,0.005,0.1,True,True,False,0.9381649,0.11070479
20250618T143247,16,300.0,10,0.005,0.1,True,True,False,0.95578456,0.10638298
20250618T143247,17,300.0,10,0.005,0.1,True,True,False,0.93583775,0.109707445
20250618T143247,18,300.0,10,0.005,0.1,True,True,False,0.94980055,0.11103723
20250618T143247,19,300.0,10,0.005,0.1,True,True,False,0.9474734,0.11336436
20250618T143247,20,300.0,10,0.005,0.1,True,True,True,0.9524601,0.105053194
20250618T150307,1,300.0,10,0.005,0.2,True,True,False,0.89461434,0.1087101
20250618T150307,2,300.0,10,0.005,0.2,True,True,False,0.92287236,0.109375
20250618T150307,3,300.0,10,0.005,0.2,True,True,False,0.9265292,0.1100399
20250618T150307,4,300.0,10,0.005,0.2,True,True,False,0.9155585,0.118351065
20250618T150307,5,300.0,10,0.005,0.2,True,True,False,0.92519945,0.11170213
20250618T150307,6,300.0,10,0.005,0.2,True,True,False,0.9381649,0.11070479
20250618T150307,7,300.0,10,0.005,0.2,True,True,False,0.9428192,0.10538564
20250618T150307,8,300.0,10,0.005,0.2,True,True,False,0.93849736,0.113696806
20250618T150307,9,300.0,10,0.005,0.2,True,True,False,0.93085104,0.113696806
20250618T150307,10,300.0,10,0.005,0.2,True,True,False,0.93916225,0.10605053
20250618T150307,11,300.0,10,0.005,0.2,True,True,False,0.9368351,0.113696806
20250618T150307,12,300.0,10,0.005,0.2,True,True,False,0.9431516,0.10704787
20250618T150307,13,300.0,10,0.005,0.2,True,True,False,0.9232048,0.10771277
20250618T150307,14,300.0,10,0.005,0.2,True,True,False,0.94547874,0.10804521
20250618T150307,15,300.0,10,0.005,0.2,True,True,False,0.9215425,0.10837766
20250618T150307,16,300.0,10,0.005,0.2,True,True,False,0.9481383,0.109375
20250618T150307,17,300.0,10,0.005,0.2,True,True,False,0.9325133,0.109707445
20250618T150307,18,300.0,10,0.005,0.2,True,True,False,0.94148934,0.107380316
20250618T150307,19,300.0,10,0.005,0.2,True,True,False,0.95511967,0.10372341
20250618T150307,20,300.0,10,0.005,0.2,True,True,True,0.9484708,0.11037234
