run_id,epoch,blend_percentage,poison_rate,poison_first,poison_second,final_epoch,clean_acc,asr
20250619T144253,1,0.9,0.05,True,False,False,0.7360000014305115,0.09266666322946548
20250619T144253,2,0.9,0.05,True,False,False,0.8659999966621399,0.11999999731779099
20250619T144253,3,0.9,0.05,True,False,False,0.8923333287239075,0.11933333426713943
20250619T144253,4,0.9,0.05,True,False,False,0.9139999747276306,0.11800000071525574
20250619T144253,5,0.9,0.05,True,False,False,0.9253333210945129,0.11666666716337204
20250619T144253,6,0.9,0.05,True,False,False,0.9256666898727417,0.11233333498239517
20250619T144253,7,0.9,0.05,True,False,False,0.9350000023841858,0.1066666692495346
20250619T144253,8,0.9,0.05,True,False,False,0.9269999861717224,0.11599999666213989
20250619T144253,9,0.9,0.05,True,False,False,0.9323333501815796,0.1133333370089531
20250619T144253,10,0.9,0.05,True,False,False,0.9433333277702332,0.11299999803304672
20250619T144253,11,0.9,0.05,True,False,False,0.9303333163261414,0.11633333563804626
20250619T144253,12,0.9,0.05,True,False,False,0.9403333067893982,0.10733333230018616
20250619T144253,13,0.9,0.05,True,False,False,0.9303333163261414,0.11133333295583725
20250619T144253,14,0.9,0.05,True,False,False,0.9333333373069763,0.12066666781902313
20250619T144253,15,0.9,0.05,True,False,False,0.9423333406448364,0.11500000208616257
20250619T144253,16,0.9,0.05,True,False,False,0.9383333325386047,0.10833333432674408
20250619T144253,17,0.9,0.05,True,False,False,0.940666675567627,0.1146666631102562
20250619T144253,18,0.9,0.05,True,False,False,0.9436666369438171,0.11133333295583725
20250619T144253,19,0.9,0.05,True,False,False,0.9423333406448364,0.11233333498239517
20250619T144253,20,0.9,0.05,True,False,True,0.9443333148956299,0.1133333370089531
20250619T144336,1,0.9,0.05,False,True,False,0.7879999876022339,0.09366666525602341
20250619T144336,2,0.9,0.05,False,True,False,0.8843333125114441,0.11366666853427887
20250619T144336,3,0.9,0.05,False,True,False,0.9153333306312561,0.1106666699051857
20250619T144336,4,0.9,0.05,False,True,False,0.9226666688919067,0.10700000077486038
20250619T144336,5,0.9,0.05,False,True,False,0.9263333082199097,0.10833333432674408
20250619T144336,6,0.9,0.05,False,True,False,0.9286666512489319,0.11133333295583725
20250619T144336,7,0.9,0.05,False,True,False,0.9126666784286499,0.10999999940395355
20250619T144336,8,0.9,0.05,False,True,False,0.9396666884422302,0.11133333295583725
20250619T144336,9,0.9,0.05,False,True,False,0.9356666803359985,0.10400000214576721
20250619T144336,10,0.9,0.05,False,True,False,0.9319999814033508,0.10966666787862778
20250619T144336,11,0.9,0.05,False,True,False,0.9350000023841858,0.11133333295583725
20250619T144336,12,0.9,0.05,False,True,False,0.9403333067893982,0.10633333027362823
20250619T144336,13,0.9,0.05,False,True,False,0.9336666464805603,0.10966666787862778
20250619T144336,14,0.9,0.05,False,True,False,0.9353333115577698,0.1146666631102562
20250619T144336,15,0.9,0.05,False,True,False,0.9433333277702332,0.10999999940395355
20250619T144336,16,0.9,0.05,False,True,False,0.9366666674613953,0.11033333092927933
20250619T144336,17,0.9,0.05,False,True,False,0.937666654586792,0.10833333432674408
20250619T144336,18,0.9,0.05,False,True,False,0.937666654586792,0.11233333498239517
20250619T144336,19,0.9,0.05,False,True,False,0.9440000057220459,0.10733333230018616
20250619T144336,20,0.9,0.05,False,True,True,0.9459999799728394,0.109333336353302
20250619T144420,1,0.9,0.05,True,True,False,0.7649999856948853,0.11766666918992996
20250619T144420,2,0.9,0.05,True,True,False,0.8776666522026062,0.10599999874830246
20250619T144420,3,0.9,0.05,True,True,False,0.9103333353996277,0.11100000143051147
20250619T144420,4,0.9,0.05,True,True,False,0.9150000214576721,0.10300000011920929
20250619T144420,5,0.9,0.05,True,True,False,0.9086666703224182,0.11100000143051147
20250619T144420,6,0.9,0.05,True,True,False,0.9290000200271606,0.11100000143051147
20250619T144420,7,0.9,0.05,True,True,False,0.9286666512489319,0.11100000143051147
20250619T144420,8,0.9,0.05,True,True,False,0.9279999732971191,0.10999999940395355
20250619T144420,9,0.9,0.05,True,True,False,0.9356666803359985,0.11233333498239517
20250619T144420,10,0.9,0.05,True,True,False,0.9356666803359985,0.1106666699051857
20250619T144420,11,0.9,0.05,True,True,False,0.9263333082199097,0.1080000028014183
20250619T144420,12,0.9,0.05,True,True,False,0.9359999895095825,0.09966666996479034
20250619T144420,13,0.9,0.05,True,True,False,0.9436666369438171,0.10733333230018616
20250619T144420,14,0.9,0.05,True,True,False,0.9366666674613953,0.10499999672174454
20250619T144420,15,0.9,0.05,True,True,False,0.9326666593551636,0.10499999672174454
20250619T144420,16,0.9,0.05,True,True,False,0.937333345413208,0.10833333432674408
20250619T144420,17,0.9,0.05,True,True,False,0.9383333325386047,0.11299999803304672
20250619T144420,18,0.9,0.05,True,True,False,0.9336666464805603,0.1106666699051857
20250619T144420,19,0.9,0.05,True,True,False,0.9459999799728394,0.10466666519641876
20250619T144420,20,0.9,0.05,True,True,True,0.9473333358764648,0.10733333230018616
