run_id,epoch,pgd_epsilon,pgd_iter,alpha,poison_rate,poison_first,poison_second,final_epoch,clean_acc,asr
20250618T054428,1,300.0,10,0.005,0.05,True,False,False,0.76761967,0.11269947
20250618T054428,2,300.0,10,0.005,0.05,True,False,False,0.90924203,0.112034574
20250618T054428,3,300.0,10,0.005,0.05,True,False,False,0.9381649,0.109707445
20250618T054428,4,300.0,10,0.005,0.05,True,False,False,0.9015958,0.1087101
20250618T054428,5,300.0,10,0.005,0.05,True,False,False,0.9162234,0.112034574
20250618T054428,6,300.0,10,0.005,0.05,True,False,False,0.921875,0.11103723
20250618T054428,7,300.0,10,0.005,0.05,True,False,False,0.93450797,0.11070479
20250618T054428,8,300.0,10,0.005,0.05,True,False,False,0.9311835,0.109042555
20250618T054428,9,300.0,10,0.005,0.05,True,False,False,0.90625,0.11269947
20250618T054428,10,300.0,10,0.005,0.05,True,False,False,0.92287236,0.11037234
20250618T054428,11,300.0,10,0.005,0.05,True,False,False,0.94581115,0.10771277
20250618T054428,12,300.0,10,0.005,0.05,True,False,False,0.92021275,0.109042555
20250618T054428,13,300.0,10,0.005,0.05,True,False,False,0.9431516,0.11037234
20250618T054428,14,300.0,10,0.005,0.05,True,False,False,0.9421542,0.1100399
20250618T054428,15,300.0,10,0.005,0.05,True,False,False,0.94414896,0.10704787
20250618T054428,16,300.0,10,0.005,0.05,True,False,False,0.94082445,0.10571808
20250618T054428,17,300.0,10,0.005,0.05,True,False,False,0.94581115,0.1100399
20250618T054428,18,300.0,10,0.005,0.05,True,False,False,0.9318484,0.109707445
20250618T054428,19,300.0,10,0.005,0.05,True,False,False,0.9537899,0.10771277
20250618T054428,20,300.0,10,0.005,0.05,True,False,True,0.9444814,0.10804521
20250618T055407,1,300.0,10,0.005,0.05,False,True,False,0.77160907,0.1200133
20250618T055407,2,300.0,10,0.005,0.05,False,True,False,0.9049202,0.109375
20250618T055407,3,300.0,10,0.005,0.05,False,True,False,0.9265292,0.11037234
20250618T055407,4,300.0,10,0.005,0.05,False,True,False,0.93650264,0.10804521
20250618T055407,5,300.0,10,0.005,0.05,False,True,False,0.9255319,0.11469415
20250618T055407,6,300.0,10,0.005,0.05,False,True,False,0.92420214,0.11236702
20250618T055407,7,300.0,10,0.005,0.05,False,True,False,0.9371675,0.111369684
20250618T055407,8,300.0,10,0.005,0.05,False,True,False,0.9428192,0.107380316
20250618T055407,9,300.0,10,0.005,0.05,False,True,False,0.93417555,0.109707445
20250618T055407,10,300.0,10,0.005,0.05,False,True,False,0.9275266,0.11070479
20250618T055407,11,300.0,10,0.005,0.05,False,True,False,0.9468085,0.11103723
20250618T055407,12,300.0,10,0.005,0.05,False,True,False,0.95046544,0.10605053
20250618T055407,13,300.0,10,0.005,0.05,False,True,False,0.94647604,0.10571808
20250618T055407,14,300.0,10,0.005,0.05,False,True,False,0.94647604,0.10771277
20250618T055407,15,300.0,10,0.005,0.05,False,True,False,0.94481385,0.109042555
20250618T055407,16,300.0,10,0.005,0.05,False,True,False,0.9268617,0.11103723
20250618T055407,17,300.0,10,0.005,0.05,False,True,False,0.95478725,0.107380316
20250618T055407,18,300.0,10,0.005,0.05,False,True,False,0.94547874,0.10704787
20250618T055407,19,300.0,10,0.005,0.05,False,True,False,0.95079786,0.106715426
20250618T055407,20,300.0,10,0.005,0.05,False,True,True,0.9484708,0.10405585
20250618T061321,1,300.0,10,0.005,0.05,True,True,False,0.8713431,0.11668883
20250618T061321,2,300.0,10,0.005,0.05,True,True,False,0.9009308,0.11236702
20250618T061321,3,300.0,10,0.005,0.05,True,True,False,0.9265292,0.11236702
20250618T061321,4,300.0,10,0.005,0.05,True,True,False,0.8892952,0.12865691
20250618T061321,5,300.0,10,0.005,0.05,True,True,False,0.91855055,0.109375
20250618T061321,6,300.0,10,0.005,0.05,True,True,False,0.9305186,0.10605053
20250618T061321,7,300.0,10,0.005,0.05,True,True,False,0.92287236,0.11303192
20250618T061321,8,300.0,10,0.005,0.05,True,True,False,0.9325133,0.109042555
20250618T061321,9,300.0,10,0.005,0.05,True,True,False,0.93583775,0.10837766
20250618T061321,10,300.0,10,0.005,0.05,True,True,False,0.94481385,0.10804521
20250618T061321,11,300.0,10,0.005,0.05,True,True,False,0.9537899,0.10605053
20250618T061321,12,300.0,10,0.005,0.05,True,True,False,0.9368351,0.11236702
20250618T061321,13,300.0,10,0.005,0.05,True,True,False,0.9421542,0.109375
20250618T061321,14,300.0,10,0.005,0.05,True,True,False,0.95478725,0.10571808
20250618T061321,15,300.0,10,0.005,0.05,True,True,False,0.9527925,0.106715426
20250618T061321,16,300.0,10,0.005,0.05,True,True,False,0.92918885,0.10538564
20250618T061321,17,300.0,10,0.005,0.05,True,True,False,0.94049203,0.11236702
20250618T061321,18,300.0,10,0.005,0.05,True,True,False,0.95046544,0.1087101
20250618T061321,19,300.0,10,0.005,0.05,True,True,False,0.9411569,0.11303192
20250618T061321,20,300.0,10,0.005,0.05,True,True,True,0.9431516,0.11070479
