run_id,epoch,pgd_epsilon,pgd_iter,alpha,poison_rate,poison_first,poison_second,final_epoch,clean_acc,asr
20250618T063630,1,300.0,10,0.005,0.05,True,False,False,0.8713431,0.11303192
20250618T063630,2,300.0,10,0.005,0.05,True,False,False,0.89893615,0.11303192
20250618T063630,3,300.0,10,0.005,0.05,True,False,False,0.92386967,0.109375
20250618T063630,4,300.0,10,0.005,0.05,True,False,False,0.9168883,0.113696806
20250618T063630,5,300.0,10,0.005,0.05,True,False,False,0.9105718,0.11070479
20250618T063630,6,300.0,10,0.005,0.05,True,False,False,0.921875,0.11469415
20250618T063630,7,300.0,10,0.005,0.05,True,False,False,0.93916225,0.11236702
20250618T063630,8,300.0,10,0.005,0.05,True,False,False,0.94414896,0.10837766
20250618T063630,9,300.0,10,0.005,0.05,True,False,False,0.9255319,0.109375
20250618T063630,10,300.0,10,0.005,0.05,True,False,False,0.9132314,0.109375
20250618T063630,11,300.0,10,0.005,0.05,True,False,False,0.9428192,0.10771277
20250618T063630,12,300.0,10,0.005,0.05,True,False,False,0.9271942,0.11103723
20250618T063630,13,300.0,10,0.005,0.05,True,False,False,0.9162234,0.111369684
20250618T063630,14,300.0,10,0.005,0.05,True,False,False,0.9444814,0.11170213
20250618T063630,15,300.0,10,0.005,0.05,True,False,False,0.93018615,0.11103723
20250618T063630,16,300.0,10,0.005,0.05,True,False,False,0.9381649,0.105053194
20250618T063630,17,300.0,10,0.005,0.05,True,False,False,0.9468085,0.10405585
20250618T063630,18,300.0,10,0.005,0.05,True,False,False,0.9261968,0.113696806
20250618T063630,19,300.0,10,0.005,0.05,True,False,False,0.94714093,0.10472074
20250618T063630,20,300.0,10,0.005,0.05,True,False,True,0.93583775,0.106715426
20250618T064705,1,300.0,10,0.005,0.05,False,True,False,0.86602396,0.11768617
20250618T064705,2,300.0,10,0.005,0.05,False,True,False,0.890625,0.1143617
20250618T064705,3,300.0,10,0.005,0.05,False,True,False,0.92386967,0.11070479
20250618T064705,4,300.0,10,0.005,0.05,False,True,False,0.92918885,0.109042555
20250618T064705,5,300.0,10,0.005,0.05,False,True,False,0.9205452,0.11070479
20250618T064705,6,300.0,10,0.005,0.05,False,True,False,0.93417555,0.111369684
20250618T064705,7,300.0,10,0.005,0.05,False,True,False,0.9421542,0.10704787
20250618T064705,8,300.0,10,0.005,0.05,False,True,False,0.9261968,0.11037234
20250618T064705,9,300.0,10,0.005,0.05,False,True,False,0.9321808,0.105053194
20250618T064705,10,300.0,10,0.005,0.05,False,True,False,0.9411569,0.1087101
20250618T064705,11,300.0,10,0.005,0.05,False,True,False,0.94581115,0.10704787
20250618T064705,12,300.0,10,0.005,0.05,False,True,False,0.94049203,0.107380316
20250618T064705,13,300.0,10,0.005,0.05,False,True,False,0.92519945,0.109707445
20250618T064705,14,300.0,10,0.005,0.05,False,True,False,0.92952126,0.10704787
20250618T064705,15,300.0,10,0.005,0.05,False,True,False,0.95079786,0.10372341
20250618T064705,16,300.0,10,0.005,0.05,False,True,False,0.94148934,0.11037234
20250618T064705,17,300.0,10,0.005,0.05,False,True,False,0.95113033,0.10837766
20250618T064705,18,300.0,10,0.005,0.05,False,True,False,0.9474734,0.107380316
20250618T064705,19,300.0,10,0.005,0.05,False,True,False,0.9567819,0.10405585
20250618T064705,20,300.0,10,0.005,0.05,False,True,True,0.95013297,0.10538564
20250618T070729,1,300.0,10,0.005,0.05,True,True,False,0.73038566,0.118351065
20250618T070729,2,300.0,10,0.005,0.05,True,True,False,0.79022604,0.106715426
20250618T070729,3,300.0,10,0.005,0.05,True,True,False,0.91988033,0.11303192
20250618T070729,4,300.0,10,0.005,0.05,True,True,False,0.9311835,0.1087101
20250618T070729,5,300.0,10,0.005,0.05,True,True,False,0.92918885,0.11170213
20250618T070729,6,300.0,10,0.005,0.05,True,True,False,0.9371675,0.116023935
20250618T070729,7,300.0,10,0.005,0.05,True,True,False,0.93982714,0.109375
20250618T070729,8,300.0,10,0.005,0.05,True,True,False,0.9375,0.10638298
20250618T070729,9,300.0,10,0.005,0.05,True,True,False,0.9368351,0.1087101
20250618T070729,10,300.0,10,0.005,0.05,True,True,False,0.9468085,0.109375
20250618T070729,11,300.0,10,0.005,0.05,True,True,False,0.94414896,0.11070479
20250618T070729,12,300.0,10,0.005,0.05,True,True,False,0.9474734,0.10704787
20250618T070729,13,300.0,10,0.005,0.05,True,True,False,0.9468085,0.10638298
20250618T070729,14,300.0,10,0.005,0.05,True,True,False,0.9182181,0.11303192
20250618T070729,15,300.0,10,0.005,0.05,True,True,False,0.92420214,0.11336436
20250618T070729,16,300.0,10,0.005,0.05,True,True,False,0.9375,0.10472074
20250618T070729,17,300.0,10,0.005,0.05,True,True,False,0.94082445,0.109375
20250618T070729,18,300.0,10,0.005,0.05,True,True,False,0.93484044,0.11269947
20250618T070729,19,300.0,10,0.005,0.05,True,True,False,0.9481383,0.107380316
20250618T070729,20,300.0,10,0.005,0.05,True,True,True,0.9484708,0.11103723
