run_id,epoch,pgd_epsilon,pgd_iter,alpha,poison_rate,poison_first,poison_second,final_epoch,clean_acc,asr,sasr
20250611T175536,1,0.1,10,0.005,0.005,True,False,False,0.3036666810512543,0.14233332872390747,0.7026666700839996
20250611T175536,2,0.1,10,0.005,0.005,True,False,False,0.7183333039283752,0.04399999976158142,0.28200000524520874
20250611T175536,3,0.1,10,0.005,0.005,True,False,False,0.8643333315849304,0.01066666655242443,0.14099997282028198
20250611T175536,4,0.1,10,0.005,0.005,True,False,False,0.8786666393280029,0.008999999612569809,0.12333333492279053
20250611T175536,5,0.1,10,0.005,0.005,True,False,False,0.8923333287239075,0.014000000432133675,0.11433333158493042
20250611T175536,6,0.1,10,0.005,0.005,True,False,False,0.8966666460037231,0.008999999612569809,0.109333336353302
20250611T175536,7,0.1,10,0.005,0.005,True,False,False,0.9089999794960022,0.005333333276212215,0.0873333215713501
20250611T175536,8,0.1,10,0.005,0.005,True,False,False,0.9179999828338623,0.004666666500270367,0.0820000171661377
20250611T175536,9,0.1,10,0.005,0.005,True,False,False,0.9079999923706055,0.007666666526347399,0.10199999809265137
20250611T175536,10,0.1,10,0.005,0.005,True,False,False,0.9223333597183228,0.007000000216066837,0.0820000171661377
20250611T175536,11,0.1,10,0.005,0.005,True,False,False,0.9176666736602783,0.00566666666418314,0.08833330869674683
20250611T175536,12,0.1,10,0.005,0.005,True,False,False,0.9146666526794434,0.006000000052154064,0.08600002527236938
20250611T175536,13,0.1,10,0.005,0.005,True,False,False,0.9193333387374878,0.004999999888241291,0.07999998331069946
20250611T175536,14,0.1,10,0.005,0.005,True,False,False,0.92166668176651,0.005333333276212215,0.08766669034957886
20250611T175536,15,0.1,10,0.005,0.005,True,False,False,0.9290000200271606,0.007000000216066837,0.07233333587646484
20250611T175536,16,0.1,10,0.005,0.005,True,False,False,0.9243333339691162,0.005333333276212215,0.07766664028167725
20250611T175536,17,0.1,10,0.005,0.005,True,False,False,0.925000011920929,0.006666666828095913,0.07933330535888672
20250611T175536,18,0.1,10,0.005,0.005,True,False,False,0.9173333048820496,0.009333333000540733,0.09533333778381348
20250611T175536,19,0.1,10,0.005,0.005,True,False,False,0.9290000200271606,0.003000000026077032,0.07566666603088379
20250611T175536,20,0.1,10,0.005,0.005,True,False,True,0.9190000295639038,0.007666666526347399,0.0820000171661377
20250611T175735,1,0.1,10,0.005,0.005,False,True,False,0.2563333213329315,0.09666666388511658,0.7476666569709778
20250611T175735,2,0.1,10,0.005,0.005,False,True,False,0.7173333168029785,0.029666665941476822,0.28333336114883423
20250611T175735,3,0.1,10,0.005,0.005,False,True,False,0.8433333039283752,0.02033333294093609,0.17366665601730347
20250611T175735,4,0.1,10,0.005,0.005,False,True,False,0.8809999823570251,0.006666666828095913,0.12266665697097778
20250611T175735,5,0.1,10,0.005,0.005,False,True,False,0.8970000147819519,0.007666666526347399,0.1066666841506958
20250611T175735,6,0.1,10,0.005,0.005,False,True,False,0.9136666655540466,0.0063333334401249886,0.08866667747497559
20250611T175735,7,0.1,10,0.005,0.005,False,True,False,0.9076666831970215,0.006666666828095913,0.0976666808128357
20250611T175735,8,0.1,10,0.005,0.005,False,True,False,0.9110000133514404,0.006000000052154064,0.08933335542678833
20250611T175735,9,0.1,10,0.005,0.005,False,True,False,0.9103333353996277,0.004999999888241291,0.09333330392837524
20250611T175735,10,0.1,10,0.005,0.005,False,True,False,0.9026666879653931,0.004000000189989805,0.09566664695739746
20250611T175735,11,0.1,10,0.005,0.005,False,True,False,0.8980000019073486,0.007666666526347399,0.10733336210250854
20250611T175735,12,0.1,10,0.005,0.005,False,True,False,0.9103333353996277,0.004999999888241291,0.08633333444595337
20250611T175735,13,0.1,10,0.005,0.005,False,True,False,0.9026666879653931,0.006000000052154064,0.0989999771118164
20250611T175735,14,0.1,10,0.005,0.005,False,True,False,0.9126666784286499,0.007666666526347399,0.08966666460037231
