run_id,epoch,pgd_epsilon,pgd_iter,alpha,poison_rate,poison_first,poison_second,final_epoch,clean_acc,asr
20250618T075339,1,300.0,10,0.005,0.005,True,True,False,0.8746675,0.115359046
20250618T075339,2,300.0,10,0.005,0.005,True,True,False,0.9361702,0.111369684
20250618T075339,3,300.0,10,0.005,0.005,True,True,False,0.9474734,0.10837766
20250618T075339,4,300.0,10,0.005,0.005,True,True,False,0.9444814,0.109375
20250618T075339,5,300.0,10,0.005,0.005,True,True,False,0.9288564,0.116023935
20250618T075339,6,300.0,10,0.005,0.005,True,True,False,0.9255319,0.10837766
20250618T075339,7,300.0,10,0.005,0.005,True,True,False,0.93484044,0.11569149
20250618T075339,8,300.0,10,0.005,0.005,True,True,False,0.93650264,0.11103723
20250618T075339,9,300.0,10,0.005,0.005,True,True,False,0.91589093,0.107380316
20250618T075339,10,300.0,10,0.005,0.005,True,True,False,0.93949467,0.11336436
20250618T075339,11,300.0,10,0.005,0.005,True,True,False,0.9587766,0.11402926
20250618T075339,12,300.0,10,0.005,0.005,True,True,False,0.95412236,0.11037234
20250618T075339,13,300.0,10,0.005,0.005,True,True,False,0.9371675,0.1143617
20250618T075339,14,300.0,10,0.005,0.005,True,True,False,0.9478058,0.11269947
20250618T075339,15,300.0,10,0.005,0.005,True,True,False,0.94581115,0.10837766
20250618T075339,16,300.0,10,0.005,0.005,True,True,False,0.95644945,0.11103723
20250618T075339,17,300.0,10,0.005,0.005,True,True,False,0.9461436,0.11236702
20250618T075339,18,300.0,10,0.005,0.005,True,True,False,0.9577792,0.10837766
20250618T075339,19,300.0,10,0.005,0.005,True,True,False,0.9577792,0.11037234
20250618T075339,20,300.0,10,0.005,0.005,True,True,True,0.96043885,0.11103723
20250618T080959,1,300.0,10,0.005,0.01,True,True,False,0.8746675,0.11968085
20250618T080959,2,300.0,10,0.005,0.01,True,True,False,0.91023934,0.11236702
20250618T080959,3,300.0,10,0.005,0.01,True,True,False,0.9105718,0.11037234
20250618T080959,4,300.0,10,0.005,0.01,True,True,False,0.9311835,0.1087101
20250618T080959,5,300.0,10,0.005,0.01,True,True,False,0.9215425,0.113696806
20250618T080959,6,300.0,10,0.005,0.01,True,True,False,0.93517286,0.1087101
20250618T080959,7,300.0,10,0.005,0.01,True,True,False,0.94481385,0.10472074
20250618T080959,8,300.0,10,0.005,0.01,True,True,False,0.9172208,0.1143617
20250618T080959,9,300.0,10,0.005,0.01,True,True,False,0.92519945,0.1143617
20250618T080959,10,300.0,10,0.005,0.01,True,True,False,0.953125,0.10771277
20250618T080959,11,300.0,10,0.005,0.01,True,True,False,0.94348407,0.106715426
20250618T080959,12,300.0,10,0.005,0.01,True,True,False,0.94049203,0.10605053
20250618T080959,13,300.0,10,0.005,0.01,True,True,False,0.9318484,0.1100399
20250618T080959,14,300.0,10,0.005,0.01,True,True,False,0.9431516,0.109042555
20250618T080959,15,300.0,10,0.005,0.01,True,True,False,0.94913566,0.10837766
20250618T080959,16,300.0,10,0.005,0.01,True,True,False,0.94647604,0.11269947
20250618T080959,17,300.0,10,0.005,0.01,True,True,False,0.9271942,0.111369684
20250618T080959,18,300.0,10,0.005,0.01,True,True,False,0.9421542,0.1087101
20250618T080959,19,300.0,10,0.005,0.01,True,True,False,0.95046544,0.10804521
20250618T080959,20,300.0,10,0.005,0.01,True,True,True,0.94514626,0.109375
20250618T082652,1,300.0,10,0.005,0.02,True,True,False,0.72839093,0.11469415
20250618T082652,2,300.0,10,0.005,0.02,True,True,False,0.7506649,0.112034574
20250618T082652,3,300.0,10,0.005,0.02,True,True,False,0.76296544,0.10405585
20250618T082652,4,300.0,10,0.005,0.02,True,True,False,0.7642952,0.10006649
20250618T082652,5,300.0,10,0.005,0.02,True,True,False,0.7586436,0.10771277
20250618T082652,6,300.0,10,0.005,0.02,True,True,False,0.7649601,0.10206117
20250618T082652,7,300.0,10,0.005,0.02,True,True,False,0.7709442,0.099734046
20250618T082652,8,300.0,10,0.005,0.02,True,True,False,0.76296544,0.10006649
20250618T082652,9,300.0,10,0.005,0.02,True,True,False,0.7357048,0.102726065
20250618T082652,10,300.0,10,0.005,0.02,True,True,False,0.7613032,0.10239362
20250618T082652,11,300.0,10,0.005,0.02,True,True,False,0.7609708,0.10106383
20250618T082652,12,300.0,10,0.005,0.02,True,True,False,0.7709442,0.10239362
20250618T082652,13,300.0,10,0.005,0.02,True,True,False,0.7649601,0.10571808
20250618T082652,14,300.0,10,0.005,0.02,True,True,False,0.7280585,0.109375
20250618T082652,15,300.0,10,0.005,0.02,True,True,False,0.77227396,0.09940159
20250618T082652,16,300.0,10,0.005,0.02,True,True,False,0.7706117,0.10073138
20250618T082652,17,300.0,10,0.005,0.02,True,True,False,0.7692819,0.10073138
20250618T082652,18,300.0,10,0.005,0.02,True,True,False,0.7742686,0.10305851
20250618T082652,19,300.0,10,0.005,0.02,True,True,False,0.7569814,0.10472074
20250618T082652,20,300.0,10,0.005,0.02,True,True,True,0.76329786,0.10139628
20250618T084506,1,300.0,10,0.005,0.05,True,True,False,0.81515956,0.124667555
20250618T084506,2,300.0,10,0.005,0.05,True,True,False,0.81017286,0.12932181
20250618T084506,3,300.0,10,0.005,0.05,True,True,False,0.8337766,0.12533244
20250618T084506,4,300.0,10,0.005,0.05,True,True,False,0.8450798,0.120678194
20250618T084506,5,300.0,10,0.005,0.05,True,True,False,0.8494016,0.12101064
20250618T084506,6,300.0,10,0.005,0.05,True,True,False,0.85538566,0.122340426
