run_id,epoch,blend_percentage,poison_rate,poison_first,poison_second,final_epoch,clean_acc,asr
20250619T000914,1,0.9,0.005,False,True,False,0.8703458,0.11635638
20250619T000914,2,0.9,0.005,False,True,False,0.8942819,0.13331117
20250619T000914,3,0.9,0.005,False,True,False,0.9418218,0.111369684
20250619T000914,4,0.9,0.005,False,True,False,0.93849736,0.106715426
20250619T000914,5,0.9,0.005,False,True,False,0.93949467,0.11103723
20250619T000914,6,0.9,0.005,False,True,False,0.94414896,0.109707445
20250619T000914,7,0.9,0.005,False,True,False,0.93484044,0.112034574
20250619T000914,8,0.9,0.005,False,True,False,0.94348407,0.11170213
20250619T000914,9,0.9,0.005,False,True,False,0.9275266,0.11502659
20250619T000914,10,0.9,0.005,False,True,False,0.94913566,0.107380316
20250619T000914,11,0.9,0.005,False,True,False,0.9524601,0.107380316
20250619T000914,12,0.9,0.005,False,True,False,0.94714093,0.11170213
20250619T000914,13,0.9,0.005,False,True,False,0.94082445,0.109375
20250619T000914,14,0.9,0.005,False,True,False,0.94348407,0.11170213
20250619T000914,15,0.9,0.005,False,True,False,0.93085104,0.120678194
20250619T000914,16,0.9,0.005,False,True,False,0.94913566,0.109707445
20250619T000914,17,0.9,0.005,False,True,False,0.9517952,0.1100399
20250619T000914,18,0.9,0.005,False,True,False,0.96542555,0.105053194
20250619T000914,19,0.9,0.005,False,True,False,0.95977396,0.107380316
20250619T000914,20,0.9,0.005,False,True,True,0.95578456,0.10837766
20250619T001120,1,0.9,0.01,False,True,False,0.8703458,0.11801862
20250619T001120,2,0.9,0.01,False,True,False,0.9168883,0.11801862
20250619T001120,3,0.9,0.01,False,True,False,0.9165558,0.116023935
20250619T001120,4,0.9,0.01,False,True,False,0.92985374,0.12400266
20250619T001120,5,0.9,0.01,False,True,False,0.8912899,0.112034574
20250619T001120,6,0.9,0.01,False,True,False,0.9168883,0.116023935
20250619T001120,7,0.9,0.01,False,True,False,0.9368351,0.11170213
20250619T001120,8,0.9,0.01,False,True,False,0.90359044,0.115359046
20250619T001120,9,0.9,0.01,False,True,False,0.94647604,0.109042555
20250619T001120,10,0.9,0.01,False,True,False,0.9155585,0.1043883
20250619T001120,11,0.9,0.01,False,True,False,0.94647604,0.10704787
20250619T001120,12,0.9,0.01,False,True,False,0.94647604,0.109707445
20250619T001120,13,0.9,0.01,False,True,False,0.91788566,0.11668883
20250619T001120,14,0.9,0.01,False,True,False,0.93949467,0.11402926
20250619T001120,15,0.9,0.01,False,True,False,0.9524601,0.11103723
20250619T001120,16,0.9,0.01,False,True,False,0.9428192,0.10605053
20250619T001120,17,0.9,0.01,False,True,False,0.95046544,0.109042555
20250619T001120,18,0.9,0.01,False,True,False,0.95644945,0.1087101
20250619T001120,19,0.9,0.01,False,True,False,0.95644945,0.107380316
20250619T001120,20,0.9,0.01,False,True,True,0.95013297,0.11037234
20250619T001322,1,0.9,0.02,False,True,False,0.7101064,0.12101064
20250619T001322,2,0.9,0.02,False,True,False,0.7875665,0.109707445
20250619T001322,3,0.9,0.02,False,True,False,0.79953456,0.10704787
20250619T001322,4,0.9,0.02,False,True,False,0.82014626,0.109042555
20250619T001322,5,0.9,0.02,False,True,False,0.8274601,0.1043883
20250619T001322,6,0.9,0.02,False,True,False,0.8331117,0.10372341
20250619T001322,7,0.9,0.02,False,True,False,0.8277925,0.10771277
20250619T001322,8,0.9,0.02,False,True,False,0.8344415,0.10571808
20250619T001322,9,0.9,0.02,False,True,False,0.8324468,0.10139628
20250619T001322,10,0.9,0.02,False,True,False,0.83477396,0.10172872
20250619T001322,11,0.9,0.02,False,True,False,0.82712764,0.106715426
20250619T001322,12,0.9,0.02,False,True,False,0.8380984,0.10206117
20250619T001322,13,0.9,0.02,False,True,False,0.82978725,0.1100399
20250619T001322,14,0.9,0.02,False,True,False,0.82513297,0.10305851
20250619T001322,15,0.9,0.02,False,True,False,0.82912236,0.10006649
20250619T001322,16,0.9,0.02,False,True,False,0.8331117,0.099734046
20250619T001322,17,0.9,0.02,False,True,False,0.83144945,0.10139628
20250619T001322,18,0.9,0.02,False,True,False,0.8188165,0.12167553
20250619T001322,19,0.9,0.02,False,True,False,0.82912236,0.10106383
20250619T001322,20,0.9,0.02,False,True,True,0.82047874,0.10704787
20250619T001513,1,0.9,0.05,False,True,False,0.71210104,0.12599733
20250619T001513,2,0.9,0.05,False,True,False,0.79521275,0.11768617
20250619T001513,3,0.9,0.05,False,True,False,0.80651593,0.12034574
20250619T001513,4,0.9,0.05,False,True,False,0.8061835,0.12034574
20250619T001513,5,0.9,0.05,False,True,False,0.78922874,0.11668883
20250619T001513,6,0.9,0.05,False,True,False,0.8071808,0.1143617
20250619T001513,7,0.9,0.05,False,True,False,0.82513297,0.11103723
20250619T001513,8,0.9,0.05,False,True,False,0.8231383,0.111369684
20250619T001513,9,0.9,0.05,False,True,False,0.77925533,0.11968085
20250619T001513,10,0.9,0.05,False,True,False,0.80651593,0.11469415
20250619T001513,11,0.9,0.05,False,True,False,0.83111703,0.11336436
20250619T001513,12,0.9,0.05,False,True,False,0.8384308,0.1143617
20250619T001513,13,0.9,0.05,False,True,False,0.81083775,0.111369684
20250619T001513,14,0.9,0.05,False,True,False,0.8231383,0.11103723
20250619T001513,15,0.9,0.05,False,True,False,0.8138298,0.11170213
20250619T001513,16,0.9,0.05,False,True,False,0.81150264,0.12101064
20250619T001513,17,0.9,0.05,False,True,False,0.81017286,0.11402926
20250619T001513,18,0.9,0.05,False,True,False,0.8021942,0.118351065
20250619T001513,19,0.9,0.05,False,True,False,0.82513297,0.113696806
20250619T001513,20,0.9,0.05,False,True,True,0.81981385,0.11469415
