run_id,epoch,pgd_epsilon,pgd_iter,alpha,poison_rate,poison_first,poison_second,final_epoch,clean_acc,asr
20250618T105811,1,300.0,10,0.005,0.005,True,True,False,0.7606666684150696,0.12399999797344208
20250618T105811,2,300.0,10,0.005,0.005,True,True,False,0.862333357334137,0.13233333826065063
20250618T105811,3,300.0,10,0.005,0.005,True,True,False,0.9026666879653931,0.09966666996479034
20250618T105811,4,300.0,10,0.005,0.005,True,True,False,0.9210000038146973,0.10333333164453506
20250618T105811,5,300.0,10,0.005,0.005,True,True,False,0.9273333549499512,0.11433333158493042
20250618T105811,6,300.0,10,0.005,0.005,True,True,False,0.9133333563804626,0.11266666650772095
20250618T105811,7,300.0,10,0.005,0.005,True,True,False,0.9313333630561829,0.10966666787862778
20250618T105811,8,300.0,10,0.005,0.005,True,True,False,0.9346666932106018,0.11299999803304672
20250618T105811,9,300.0,10,0.005,0.005,True,True,False,0.9303333163261414,0.11366666853427887
20250618T105811,10,300.0,10,0.005,0.005,True,True,False,0.9350000023841858,0.10833333432674408
20250618T105811,11,300.0,10,0.005,0.005,True,True,False,0.9340000152587891,0.1080000028014183
20250618T105811,12,300.0,10,0.005,0.005,True,True,False,0.9409999847412109,0.109333336353302
20250618T105811,13,300.0,10,0.005,0.005,True,True,False,0.937666654586792,0.10700000077486038
20250618T105811,14,300.0,10,0.005,0.005,True,True,False,0.9399999976158142,0.1066666692495346
20250618T105811,15,300.0,10,0.005,0.005,True,True,False,0.9466666579246521,0.10566666722297668
20250618T105811,16,300.0,10,0.005,0.005,True,True,False,0.9396666884422302,0.10700000077486038
20250618T105811,17,300.0,10,0.005,0.005,True,True,False,0.9453333616256714,0.10866666585206985
20250618T105811,18,300.0,10,0.005,0.005,True,True,False,0.9416666626930237,0.10766666382551193
20250618T105811,19,300.0,10,0.005,0.005,True,True,False,0.9486666917800903,0.109333336353302
20250618T105811,20,300.0,10,0.005,0.005,True,True,True,0.940666675567627,0.10533333569765091
20250618T111444,1,300.0,10,0.005,0.01,True,True,False,0.7566666603088379,0.14166666567325592
20250618T111444,2,300.0,10,0.005,0.01,True,True,False,0.8669999837875366,0.10999999940395355
20250618T111444,3,300.0,10,0.005,0.01,True,True,False,0.8933333158493042,0.1120000034570694
20250618T111444,4,300.0,10,0.005,0.01,True,True,False,0.9089999794960022,0.11500000208616257
20250618T111444,5,300.0,10,0.005,0.01,True,True,False,0.9150000214576721,0.11566666513681412
20250618T111444,6,300.0,10,0.005,0.01,True,True,False,0.9266666769981384,0.11500000208616257
20250618T111444,7,300.0,10,0.005,0.01,True,True,False,0.9290000200271606,0.1080000028014183
20250618T111444,8,300.0,10,0.005,0.01,True,True,False,0.9330000281333923,0.10566666722297668
20250618T111444,9,300.0,10,0.005,0.01,True,True,False,0.9259999990463257,0.10700000077486038
20250618T111444,10,300.0,10,0.005,0.01,True,True,False,0.9253333210945129,0.10833333432674408
20250618T111444,11,300.0,10,0.005,0.01,True,True,False,0.9423333406448364,0.10566666722297668
20250618T111444,12,300.0,10,0.005,0.01,True,True,False,0.9440000057220459,0.10899999737739563
20250618T111444,13,300.0,10,0.005,0.01,True,True,False,0.9403333067893982,0.11133333295583725
20250618T111444,14,300.0,10,0.005,0.01,True,True,False,0.9353333115577698,0.10533333569765091
20250618T111444,15,300.0,10,0.005,0.01,True,True,False,0.9440000057220459,0.10499999672174454
20250618T111444,16,300.0,10,0.005,0.01,True,True,False,0.9430000185966492,0.10566666722297668
20250618T111444,17,300.0,10,0.005,0.01,True,True,False,0.934333324432373,0.10833333432674408
20250618T111444,18,300.0,10,0.005,0.01,True,True,False,0.9266666769981384,0.11266666650772095
20250618T111444,19,300.0,10,0.005,0.01,True,True,False,0.9523333311080933,0.10999999940395355
20250618T111444,20,300.0,10,0.005,0.01,True,True,True,0.9423333406448364,0.1066666692495346
20250618T113116,1,300.0,10,0.005,0.02,True,True,False,0.7720000147819519,0.07666666805744171
20250618T113116,2,300.0,10,0.005,0.02,True,True,False,0.9003333449363708,0.10566666722297668
20250618T113116,3,300.0,10,0.005,0.02,True,True,False,0.9146666526794434,0.10866666585206985
20250618T113116,4,300.0,10,0.005,0.02,True,True,False,0.9169999957084656,0.10599999874830246
20250618T113116,5,300.0,10,0.005,0.02,True,True,False,0.9233333468437195,0.10866666585206985
20250618T113116,6,300.0,10,0.005,0.02,True,True,False,0.9319999814033508,0.109333336353302
20250618T113116,7,300.0,10,0.005,0.02,True,True,False,0.9383333325386047,0.10733333230018616
20250618T113116,8,300.0,10,0.005,0.02,True,True,False,0.9443333148956299,0.10499999672174454
20250618T113116,9,300.0,10,0.005,0.02,True,True,False,0.9416666626930237,0.10966666787862778
20250618T113116,10,300.0,10,0.005,0.02,True,True,False,0.9430000185966492,0.10866666585206985
20250618T113116,11,300.0,10,0.005,0.02,True,True,False,0.9403333067893982,0.1106666699051857
20250618T113116,12,300.0,10,0.005,0.02,True,True,False,0.9426666498184204,0.11133333295583725
20250618T113116,13,300.0,10,0.005,0.02,True,True,False,0.9443333148956299,0.11100000143051147
20250618T113116,14,300.0,10,0.005,0.02,True,True,False,0.9416666626930237,0.11033333092927933
20250618T113116,15,300.0,10,0.005,0.02,True,True,False,0.9430000185966492,0.10700000077486038
20250618T113116,16,300.0,10,0.005,0.02,True,True,False,0.9426666498184204,0.109333336353302
20250618T113116,17,300.0,10,0.005,0.02,True,True,False,0.9419999718666077,0.1066666692495346
20250618T113116,18,300.0,10,0.005,0.02,True,True,False,0.9483333230018616,0.10833333432674408
20250618T113116,19,300.0,10,0.005,0.02,True,True,False,0.9520000219345093,0.10599999874830246
20250618T113116,20,300.0,10,0.005,0.02,True,True,True,0.9490000009536743,0.1080000028014183
20250618T114916,1,300.0,10,0.005,0.05,True,True,False,0.7590000033378601,0.1003333330154419
20250618T114916,2,300.0,10,0.005,0.05,True,True,False,0.8523333072662354,0.08633333444595337
20250618T114916,3,300.0,10,0.005,0.05,True,True,False,0.9070000052452087,0.10100000351667404
20250618T114916,4,300.0,10,0.005,0.05,True,True,False,0.9123333096504211,0.10266666859388351
20250618T114916,5,300.0,10,0.005,0.05,True,True,False,0.9263333082199097,0.10266666859388351
20250618T114916,6,300.0,10,0.005,0.05,True,True,False,0.9273333549499512,0.10966666787862778
20250618T114916,7,300.0,10,0.005,0.05,True,True,False,0.9313333630561829,0.11433333158493042
20250618T114916,8,300.0,10,0.005,0.05,True,True,False,0.9233333468437195,0.109333336353302
20250618T114916,9,300.0,10,0.005,0.05,True,True,False,0.9259999990463257,0.1066666692495346
20250618T114916,10,300.0,10,0.005,0.05,True,True,False,0.9409999847412109,0.10400000214576721
20250618T114916,11,300.0,10,0.005,0.05,True,True,False,0.9319999814033508,0.10766666382551193
20250618T114916,12,300.0,10,0.005,0.05,True,True,False,0.9166666865348816,0.11699999868869781
20250618T114916,13,300.0,10,0.005,0.05,True,True,False,0.9356666803359985,0.10999999940395355
20250618T114916,14,300.0,10,0.005,0.05,True,True,False,0.9316666722297668,0.10899999737739563
20250618T114916,15,300.0,10,0.005,0.05,True,True,False,0.9363333582878113,0.11033333092927933
20250618T114916,16,300.0,10,0.005,0.05,True,True,False,0.9356666803359985,0.10300000011920929
20250618T114916,17,300.0,10,0.005,0.05,True,True,False,0.9283333420753479,0.10866666585206985
20250618T114916,18,300.0,10,0.005,0.05,True,True,False,0.9363333582878113,0.10566666722297668
20250618T114916,19,300.0,10,0.005,0.05,True,True,False,0.9286666512489319,0.10833333432674408
20250618T114916,20,300.0,10,0.005,0.05,True,True,True,0.934333324432373,0.1066666692495346
20250618T121739,1,300.0,10,0.005,0.1,True,True,False,0.7689999938011169,0.11100000143051147
20250618T121739,2,300.0,10,0.005,0.1,True,True,False,0.8686666488647461,0.09933333098888397
20250618T121739,3,300.0,10,0.005,0.1,True,True,False,0.9079999923706055,0.11699999868869781
20250618T121739,4,300.0,10,0.005,0.1,True,True,False,0.9290000200271606,0.10700000077486038
20250618T121739,5,300.0,10,0.005,0.1,True,True,False,0.921999990940094,0.11400000005960464
20250618T121739,6,300.0,10,0.005,0.1,True,True,False,0.9336666464805603,0.10599999874830246
20250618T121739,7,300.0,10,0.005,0.1,True,True,False,0.9283333420753479,0.10899999737739563
20250618T121739,8,300.0,10,0.005,0.1,True,True,False,0.9386666417121887,0.10266666859388351
20250618T121739,9,300.0,10,0.005,0.1,True,True,False,0.9153333306312561,0.10700000077486038
20250618T121739,10,300.0,10,0.005,0.1,True,True,False,0.9359999895095825,0.11100000143051147
20250618T121739,11,300.0,10,0.005,0.1,True,True,False,0.9326666593551636,0.10999999940395355
20250618T121739,12,300.0,10,0.005,0.1,True,True,False,0.9449999928474426,0.10599999874830246
